Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 18 Feb 2024, at 12:26 PM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,Moderate
"On 07 Feb 2024, at 03:11 PM, a truck collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 05 Feb 2024, at 03:48 AM, a car collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,High
"On 31 Jan 2024, at 04:59 AM, a two-wheeler collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 24 Feb 2024, at 01:23 PM, a car collided with a car at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 10 Feb 2024, at 07:09 AM, a auto-rickshaw collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Jumping red lights or ignoring stop signs",Weather Issues,Signal Violation,Moderate
"On 20 Feb 2024, at 10:34 PM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 29 Feb 2024, at 02:10 AM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 15 Jan 2024, at 03:39 AM, a truck collided with a car at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 12 Feb 2024, at 08:56 PM, a bus collided with a two-wheeler at MG Road, Bangalore. Car passengers not wearing seatbelts. Jaywalking or crossing in unsafe zones",Seatbelt Violation,Pedestrian Negligence,Moderate
"On 04 Feb 2024, at 04:48 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 01 Mar 2024, at 03:34 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 12 Jan 2024, at 03:42 PM, a car collided with a truck at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Over speeding and reckless maneuvering",Road Conditions,Rash Driving,Moderate
"On 01 Mar 2024, at 12:44 PM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Heavy rain, fog, or slippery roads",Weather Issues,Weather Issues,Moderate
"On 06 Jan 2024, at 10:37 PM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 12 Jan 2024, at 09:30 PM, a two-wheeler collided with a car at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Heavy rain, fog, or slippery roads",Weather Issues,Weather Issues,Moderate
"On 25 Jan 2024, at 02:33 AM, a truck collided with a car at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 01 Feb 2024, at 08:53 AM, a truck collided with a bus at MG Road, Bangalore. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 20 Feb 2024, at 03:12 PM, a bus collided with a bus at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,High
"On 18 Feb 2024, at 06:03 PM, a auto-rickshaw collided with a bus at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Car passengers not wearing seatbelts",Seatbelt Violation,Seatbelt Violation,High
"On 26 Jan 2024, at 07:22 PM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 14 Feb 2024, at 03:32 AM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 16 Jan 2024, at 03:17 PM, a car collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 04 Feb 2024, at 10:59 PM, a car collided with a two-wheeler at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 25 Feb 2024, at 03:17 PM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 05 Feb 2024, at 08:27 PM, a two-wheeler collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 01 Jan 2024, at 03:48 AM, a car collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 12 Feb 2024, at 11:06 AM, a car collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 19 Jan 2024, at 08:03 AM, a two-wheeler collided with a truck at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 30 Jan 2024, at 06:21 PM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. DUI-related accident. Two-wheeler rider not wearing a helmet",Drunk Driving,Helmet Violation,Moderate
"On 22 Jan 2024, at 01:38 AM, a bus collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Over speeding and reckless maneuvering",Pedestrian Negligence,Rash Driving,Moderate
"On 29 Feb 2024, at 06:05 PM, a truck collided with a truck at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Over speeding and reckless maneuvering",Pedestrian Negligence,Rash Driving,Moderate
"On 02 Feb 2024, at 12:39 AM, a two-wheeler collided with a bus at NH66 near Trivandrum. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 12 Feb 2024, at 01:29 PM, a auto-rickshaw collided with a auto-rickshaw at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,High
"On 10 Jan 2024, at 12:37 AM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 13 Feb 2024, at 01:24 AM, a auto-rickshaw collided with a bus at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 23 Jan 2024, at 09:26 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,High
"On 20 Feb 2024, at 03:30 AM, a truck collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 27 Feb 2024, at 03:24 PM, a bus collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 01 Feb 2024, at 10:05 PM, a car collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 01 Jan 2024, at 07:48 PM, a truck collided with a truck at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 26 Feb 2024, at 04:36 AM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 15 Jan 2024, at 06:16 PM, a two-wheeler collided with a bus at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 02 Feb 2024, at 04:36 AM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 26 Feb 2024, at 11:15 PM, a auto-rickshaw collided with a bus at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 09 Jan 2024, at 05:24 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 26 Jan 2024, at 06:22 PM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,Moderate
"On 19 Feb 2024, at 02:21 AM, a car collided with a bus at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 26 Feb 2024, at 01:21 PM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. DUI-related accident",Pedestrian Negligence,Drunk Driving,Moderate
"On 08 Jan 2024, at 07:13 AM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. DUI-related accident",Pedestrian Negligence,Drunk Driving,Moderate
"On 01 Jan 2024, at 06:27 AM, a two-wheeler collided with a truck at MG Road, Bangalore. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,Moderate
"On 17 Feb 2024, at 05:46 AM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. DUI-related accident",Weather Issues,Drunk Driving,Moderate
"On 22 Feb 2024, at 06:40 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 22 Jan 2024, at 07:46 PM, a truck collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 25 Jan 2024, at 01:44 PM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 07 Jan 2024, at 07:40 AM, a bus collided with a bus at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,High
"On 28 Jan 2024, at 10:03 AM, a truck collided with a two-wheeler at NH66 near Trivandrum. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 19 Jan 2024, at 09:15 PM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 06 Jan 2024, at 05:15 PM, a two-wheeler collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 07 Feb 2024, at 02:46 PM, a auto-rickshaw collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 19 Feb 2024, at 11:47 AM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,High
"On 26 Jan 2024, at 07:46 AM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 03 Jan 2024, at 07:18 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Heavy rain, fog, or slippery roads",Signal Violation,Weather Issues,High
"On 15 Feb 2024, at 05:28 AM, a car collided with a two-wheeler at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 06 Jan 2024, at 02:46 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 29 Feb 2024, at 04:45 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 21 Feb 2024, at 08:38 PM, a two-wheeler collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 10 Jan 2024, at 09:11 AM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,High
"On 10 Feb 2024, at 06:22 PM, a auto-rickshaw collided with a car at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 22 Feb 2024, at 07:41 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 12 Jan 2024, at 09:11 PM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Jumping red lights or ignoring stop signs",Weather Issues,Signal Violation,Moderate
"On 15 Jan 2024, at 03:57 PM, a two-wheeler collided with a car at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 01 Mar 2024, at 10:02 AM, a car collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 18 Feb 2024, at 05:30 AM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 18 Feb 2024, at 04:30 AM, a truck collided with a car at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 02 Feb 2024, at 05:28 AM, a truck collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 03 Jan 2024, at 10:22 AM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 26 Feb 2024, at 03:07 AM, a truck collided with a bus at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,Moderate
"On 09 Jan 2024, at 06:07 AM, a car collided with a truck at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,High
"On 27 Jan 2024, at 12:02 PM, a two-wheeler collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. Potholes, construction work, or lack of signs",Seatbelt Violation,Road Conditions,High
"On 01 Jan 2024, at 10:07 AM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 17 Feb 2024, at 06:54 AM, a bus collided with a two-wheeler at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 17 Feb 2024, at 11:53 PM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. Car passengers not wearing seatbelts",Drunk Driving,Seatbelt Violation,High
"On 29 Jan 2024, at 06:16 PM, a car collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 26 Feb 2024, at 05:27 PM, a bus collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. Two-wheeler rider not wearing a helmet",Rash Driving,Helmet Violation,Moderate
"On 29 Jan 2024, at 10:59 PM, a car collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,High
"On 22 Feb 2024, at 08:01 AM, a truck collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 21 Feb 2024, at 09:26 PM, a truck collided with a truck at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 10 Jan 2024, at 12:20 AM, a car collided with a truck at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Two-wheeler rider not wearing a helmet",Seatbelt Violation,Helmet Violation,Moderate
"On 22 Jan 2024, at 10:16 PM, a bus collided with a bus at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 26 Feb 2024, at 03:09 AM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
